drawingDate,externalId,numbers,headsTails,jackpotLevel,bonusFactor
2023-04-01T00:00:00Z,318,61 57 39 46 16 21 28 6 23 76 62 77 55 14 24 35 7 80 47 26,heads,regular,1
2023-04-01T00:03:00Z,319,47 36 68 7 42 20 53 22 64 56 17 73 60 14 3 58 50 16 2 46,tails,regular,5
2023-04-01T00:06:00Z,320,13 69 7 70 48 73 16 66 77 28 12 45 46 42 57 21 32 37 43 64,tails,regular,1
2023-04-01T00:09:00Z,321,5 79 17 47 74 37 44 42 62 65 55 8 39 34 32 22 41 66 2 51,tails,regular,2
2023-04-01T00:12:00Z,323,75 62 33 24 60 1 31 72 66 12 45 56 78 43 69 73 38 2 50 54,tails,regular,1
2023-04-01T00:15:00Z,324,78 28 31 60 1 17 61 20 15 12 68 2 77 57 11 46 67 38 33 8,heads,minor,1
2023-04-01T00:18:00Z,325,6 54 13 43 58 74 8 40 44 39 76 48 28 61 9 2 67 75 53 29,tails,major,1
2023-04-01T00:21:00Z,326,2 58 5 20 57 71 30 36 43 55 40 16 75 12 26 47 17 50 79 38,heads,regular,2
2023-04-01T00:24:00Z,327,70 8 63 80 46 29 3 43 23 76 44 19 67 18 71 21 15 35 10 65,evens,major,2
2023-04-01T00:27:00Z,328,46 77 68 75 50 13 25 38 35 15 36 14 76 19 22 7 26 74 21 4,heads,regular,1
2023-04-01T00:30:00Z,329,68 44 48 79 14 70 18 2 20 12 77 76 67 36 1 53 49 23 21 35,evens,regular,1
2023-04-01T00:33:00Z,330,54 12 72 35 36 2 55 75 77 8 51 27 19 52 43 39 73 20 16 69,evens,minor,1
2023-04-01T00:36:00Z,332,42 77 58 31 12 18 71 34 70 2 6 53 33 66 57 28 47 21 4 40,heads,regular,3
2023-04-01T00:39:00Z,333,78 40 5 49 1 3 25 76 54 8 7 12 42 30 60 18 23 31 35 13,heads,regular,2
2023-04-01T00:42:00Z,334,38 56 68 28 75 15 45 32 33 46 37 21 77 65 50 34 66 74 26 18,evens,regular,3
2023-04-01T00:45:00Z,335,10 29 71 78 57 46 1 77 59 16 12 6 43 11 53 40 22 18 61 74,evens,minor,2
2023-04-01T00:48:00Z,336,70 7 62 56 44 72 36 27 41 1 17 63 66 61 55 73 59 31 34 68,tails,regular,1
